Name,URL,Description,Image,,
Thayagam Tamil Radio,https://s3.yesstreaming.net:17045/stream,"
தாயகம் தமிழ் ஒலி பரப்புச் சேவை",https://raw.githubusercontent.com/iarinapps/RadiosImages/refs/heads/main/thayagam.jpg,,
Innisai FM,https://ec2.yesstreaming.net:1955/stream,"
Innisai FM is a Tamil  online radio broadcasting from Swiss.Innisai FM plays non stop Tamil super Hit songs.Listen to Innisai FM radio station online.""",https://raw.githubusercontent.com/iarinapps/RadiosImages/refs/heads/main/innisafm2.jpg,,
Vaigai FM,https://stream.zeno.fm/x94nymrwaq8uv,"
Vaigai FM is an online Radio Station From Rajapalayam",https://raw.githubusercontent.com/iarinapps/RadiosImages/refs/heads/main/vaigaifm.jpg,,
Thaalam FM,https://ec4.yesstreaming.net:1990/stream,"
Thaalam FM 88.9 HD3 Tamil Radio Station operating from Toronto",https://raw.githubusercontent.com/iarinapps/RadiosImages/refs/heads/main/thaalamfm.jpg,,
Arangam Online,https://arangamonline.com:10443/yesselradio.mp3,"
Arangam Online is an online radio that plays exclusive concerts of past masters. Anyone from India",https://raw.githubusercontent.com/iarinapps/RadiosImages/refs/heads/main/arangamonline.jpg,,
Tamil Cholai Radio,https://radio.perthtamiltalkies.com.au/radio/8010/tamilcholai,"
Tamil Cholai is a growing success of Perth’s most treasured Tamil radio broadcast service for more than 25 years.",https://raw.githubusercontent.com/iarinapps/RadiosImages/refs/heads/main/tamil-cholai1.jpg,,
Qatar Radio,https://streaming.qtamilradio.com/live/strem,"
Qatar Radio Tamil is Tamil radio station broadcasting from Doha Qatar.Listen to popular tamil songs and various Tamil entertainment programs only on Qatar radio Tamil. Q Tamil Radio",https://raw.githubusercontent.com/iarinapps/RadiosImages/refs/heads/main/qtamilradio.jpg,,
IBC Tamil Radio,https://rbx2.hnux.com/http://10454.cloudrad.io:6176/,stream.mp3,"
IBC Tamil Radio is a Tamil language radio station with aim of building bridges of communion among Tamils all over the world.IBC Tamil Radio provide a trusted and indispensable source of information",https://raw.githubusercontent.com/iarinapps/RadiosImages/refs/heads/main/ibctamil.jpg,
Tamil Panpalai Gold,https://tamilpanpalai.radioca.st/ind,"
Tamil Panpalai Gold plays Tamil old songs and Tamil classical songs and Tamil old song radio non stop 24 hours from Madiurai Tamilnadu.Listen to Tamil Panpalai Gold Tamil radio station online.",https://raw.githubusercontent.com/iarinapps/RadiosImages/refs/heads/main/Tamil-Panpalai.jpg,,
Thavakalai Radio,https://securestreams7.autopo.st/?uri=http://comet.shoutca.st:8143/stream,"
Thavakalai Radio is Tamil Retro radio station playing super hit Tamil songs from the 80’s.Thavakalai Radio plays non stop Kollywood Fim music from the 80’s Era.Thavakalai Radio is been a hit among Tamil people who want to listen to Tamil old songs online.Listen to Thavakalai Radio online live.""",https://raw.githubusercontent.com/iarinapps/RadiosImages/refs/heads/main/Thavakalai-Radio.jpg,,
